🕘️更新时间,#genre#
2025-12-01 10:21:01,http://nas.suntao.online:35455/itv/6000000001000029752.m3u8?cdn=wasusyt

📺央视频道,#genre#
CCTV-1,http://nas.suntao.online:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV-1,https://live.chinacert.cftest5.cn/mg/?id=608807420
CCTV-2,https://live.chinacert.cftest5.cn/mg/?id=631780532
CCTV-3,http://nas.suntao.online:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3,https://live.chinacert.cftest5.cn/mg/?id=624878271
CCTV-4,https://live.chinacert.cftest5.cn/mg/?id=631780421
CCTV-5,http://nas.suntao.online:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5,https://live.chinacert.cftest5.cn/mg/?id=641886683
CCTV-5+,http://nas.suntao.online:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+,https://live.chinacert.cftest5.cn/mg/?id=641886773
CCTV-6,http://nas.suntao.online:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-6,https://live.chinacert.cftest5.cn/mg/?id=624878396
CCTV-7,http://nas.suntao.online:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-7,https://live.chinacert.cftest5.cn/mg/?id=673168121
CCTV-8,http://nas.suntao.online:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV-8,https://live.chinacert.cftest5.cn/mg/?id=624878356
CCTV-9,http://nas.suntao.online:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-9,https://live.chinacert.cftest5.cn/mg/?id=673168140
CCTV-10,http://nas.suntao.online:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-10,https://live.chinacert.cftest5.cn/mg/?id=624878405
CCTV-11,https://live.chinacert.cftest5.cn/mg/?id=667987558
CCTV-12,http://nas.suntao.online:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-12,https://live.chinacert.cftest5.cn/mg/?id=673168185
CCTV-13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV-13,https://live.chinacert.cftest5.cn/mg/?id=608807423
CCTV-14,http://nas.suntao.online:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-14,https://live.chinacert.cftest5.cn/mg/?id=624878440
CCTV-15,https://live.chinacert.cftest5.cn/mg/?id=673168223
CCTV-16,http://nas.suntao.online:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV-17,http://nas.suntao.online:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV-17,https://live.chinacert.cftest5.cn/mg/?id=673168256

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://nas.suntao.online:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,https://live.chinacert.cftest5.cn/mg/?id=608831231
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江卫视,http://nas.suntao.online:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8?a=1000&d=d396e340de48108a9576134d5b090354&k=60ede3db45d8640ab1db2b9f0dfa7549&t=1671539989
浙江卫视,http://zwebl02.cztv.com/live/channel011080P.m3u8?auth_key=2524708799-0-0-9a1229d8b9d311024ebea08c3fb1d63f
湖南卫视,http://nas.suntao.online:35455/itv/5000000004000006692.m3u8?cdn=bestzb
北京卫视,http://nas.suntao.online:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
湖北卫视,http://nas.suntao.online:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,https://live.chinacert.cftest5.cn/mg/?id=947472496
黑龙江卫视,http://nas.suntao.online:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
安徽卫视,http://nas.suntao.online:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
重庆卫视,http://nas.suntao.online:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
东方卫视,https://live.chinacert.cftest5.cn/mg/?id=651632648
东南卫视,http://nas.suntao.online:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,https://live.chinacert.cftest5.cn/mg/?id=849116810
甘肃卫视,http://nas.suntao.online:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广西卫视,http://nas.suntao.online:35455/itv/5000000011000031118.m3u8?cdn=bestzb
广西卫视,https://mobilelive.gxtv.cn/live/gx_live1004/playlist.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
贵州卫视,http://nas.suntao.online:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://nas.suntao.online:35455/itv/5000000004000006211.m3u8?cdn=bestzb
海南卫视,https://live.chinacert.cftest5.cn/mg/?id=947472502
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8
河北卫视,http://nas.suntao.online:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://nas.suntao.online:35455/itv/5000000011000031119.m3u8?cdn=bestzb
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=9f301963bb789716e610e44fd5feff28&wsTime=1746766525
河南卫视,http://tvpull.dxhmt.cn:9081/tv/11425-1.m3u8
河南卫视,https://live.chinacert.cftest5.cn/mg/?id=790187291
吉林卫视,http://nas.suntao.online:35455/itv/5000000011000031117.m3u8?cdn=bestzb
吉林卫视,https://live.chinacert.cftest5.cn/mg/?id=947472500
江苏卫视,http://nas.suntao.online:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,https://live.chinacert.cftest5.cn/mg/?id=623899368
江西卫视,http://nas.suntao.online:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,https://live.chinacert.cftest5.cn/mg/?id=783847495
辽宁卫视,http://nas.suntao.online:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,https://live.chinacert.cftest5.cn/mg/?id=630291707
青海卫视,http://nas.suntao.online:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
青海卫视,https://live.chinacert.cftest5.cn/mg/?id=947472506
山东卫视,http://nas.suntao.online:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
陕西卫视,https://live.chinacert.cftest5.cn/mg/?id=738910838
四川卫视,http://nas.suntao.online:35455/itv/5000000004000006119.m3u8?cdn=bestzb
深圳卫视,http://nas.suntao.online:35455/itv/5000000004000007410.m3u8?cdn=bestzb
天津卫视,http://nas.suntao.online:35455/itv/5000000004000006827.m3u8?cdn=bestzb
云南卫视,http://nas.suntao.online:35455/itv/5000000011000031120.m3u8?cdn=bestzb

☘️广东频道,#genre#
广东卫视,http://nas.suntao.online:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,https://live.chinacert.cftest5.cn/mg/?id=608831231
大湾区卫视,https://live.chinacert.cftest5.cn/mg/?id=608917627
深圳卫视,http://nas.suntao.online:35455/itv/5000000004000007410.m3u8?cdn=bestzb

☘️浙江频道,#genre#
浙江钱江都市,http://zwebl02.cztv.com/live/channel021080P.m3u8?auth_key=2524708799-0-0-43f14b8147c890428975655007afb4cc
浙江生活,http://ls.qingting.fm/live/1099.m3u8
浙江经济生活,http://zwebl02.cztv.com/live/channel031080P.m3u8?auth_key=2524708799-0-0-cc09266f8e043a6df28eb148cb488d37
浙江经济生活,http://ls.qingting.fm/live/1099.m3u8
浙江新闻,http://zwebl02.cztv.com/live/channel071080P.m3u8?auth_key=2524708799-0-0-e3b50ca59d2c0883d5386d8bc4cdefbc
浙江少儿,http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8?a=1000&d=83b26bacf5397c013aff782b2c4287d0&k=c99bdac76cff6ddc27e750ba689b7d5b&t=1704368408
浙江经济,http://zwebl02.cztv.com/live/channel031080P.m3u8?auth_key=2524708799-0-0-cc09266f8e043a6df28eb148cb488d37
之江纪录,http://zwebl02.cztv.com/live/channel121080P.m3u8?auth_key=2524708799-0-0-c33efdd495bcdd2ddc42e7c408405037
浙江国际,http://zwebl02.cztv.com/live/channel101080P.m3u8?auth_key=2524708799-0-0-c9473fea1da3eff0f29f4c9cf2b36519
浙江教科影视,http://zwebl02.cztv.com/live/channel041080P.m3u8?auth_key=2524708799-0-0-f195b808217db133bfd648edc01e91fa

☘️北京频道,#genre#
北京新闻,http://nas.suntao.online:35455/bptv/10000100000000050000000003870780.m3u8
北京新闻,https://ls.qingting.fm/live/339/64k.m3u8
北京新闻,https://brtv-radiolive.rbc.cn/alive/fm945.m3u8

☘️上海频道,#genre#
上海新闻综合,https://live.chinacert.cftest5.cn/mg/?id=651632657
第一财经,http://ls.qingting.fm/live/276.m3u8

☘️重庆频道,#genre#

☘️江苏频道,#genre#
优漫卡通,https://live.chinacert.cftest5.cn/mg/?id=626064703
南通新闻综合,https://live.chinacert.cftest5.cn/mg/?id=955227985
江苏城市,https://live.chinacert.cftest5.cn/mg/?id=626064714
江苏影视,https://live.chinacert.cftest5.cn/mg/?id=626064697
江苏教育,https://live.chinacert.cftest5.cn/mg/?id=628008321
淮安新闻综合,https://live.chinacert.cftest5.cn/mg/?id=639731826
溧水新闻综合,https://live.chinacert.cftest5.cn/mg/?id=639737327
连云港新闻综合,https://live.chinacert.cftest5.cn/mg/?id=639731715
靖江新闻综合,http://ls.qingting.fm/live/23797.m3u8

☘️辽宁频道,#genre#
辽宁都市,https://ls.qingting.fm/live/1099/64k.m3u8

☘️湖南频道,#genre#
湖南金鹰纪实,http://nas.suntao.online:35455/itv/5000000011000031203.m3u8?cdn=bestzb
长沙新闻综合,http://ls.qingting.fm/live/4877.m3u8
长沙新闻,http://ls.qingting.fm/live/4877.m3u8

☘️湖北频道,#genre#
武汉一台新闻综合,https://ls.qingting.fm/live/20198/64k.m3u8

☘️广西频道,#genre#
北海经济科教,https://play-a2.quklive.com:443/live/1727311690820146.m3u8
宾阳综合,http://pulls.myun.tv/live/0dkp33j5.m3u8
灌阳新闻综合,https://ls.qingting.fm/live/5043/64k.m3u8
田东综合,http://pulls.myun.tv/live/0dkp33j5.m3u8
广西新闻,https://mobilelive.gxtv.cn/live/gx_live1007/playlist.m3u8
广西国际,https://hlscdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8
广西国际,http://hlscdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8?fbl=

☘️天津频道,#genre#
天津卫视,http://nas.suntao.online:35455/itv/5000000004000006827.m3u8?cdn=bestzb

☘️四川频道,#genre#
